id,question_en,question_ru,answer_en,answer_ru,tags,sources,safety_level,question_en_clean,question_ru_clean,combined_question
176,Should I avoid exercise?,Kya exercise se parhez karna chahiye?,"Yes, avoid strenuous activity until fully recovered.","Haan, poori sehat tak mehnat se parhez karein.",home_care;activity,WHO,general,should i avoid exercise,kya exercise se parhez karna chahiye,should i avoid exercise kya exercise se parhez karna chahiye
177,Can dehydration cause rapid heartbeat?,Kya dehydration se dharkan barh jati hai?,"Yes, dehydration increases heart rate.","Haan, dehydration se dharkan tez hoti hai.",hydration;cardio,WHO,general,can dehydration cause rapid heartbeat,kya dehydration se dharkan barh jati hai,can dehydration cause rapid heartbeat kya dehydration se dharkan barh jati hai
178,Does dengue cause numbness?,Kya dengue me sunnpan hota hai?,"Rare; if numbness is significant, seek evaluation.",Kam hota hai; zyada ho to muaina karo.,symptoms;neuro,Clinical,urgent-care,does dengue cause numbness,kya dengue me sunnpan hota hai,does dengue cause numbness kya dengue me sunnpan hota hai
179,Is diarrhea common?,Kya dast aam hain?,"Some patients have mild diarrhea, but severe diarrhea is uncommon.",Kuch cases me halki dast hosakti hain; shadeed aam nahi.,symptoms;gastro,WHO,general,is diarrhea common,kya dast aam hain,is diarrhea common kya dast aam hain
180,Can dengue cause bloating?,Kya dengue me pait phoolta hai?,Mild bloating can occur; severe bloating needs evaluation.,Halki phoolan hosakti hai; shadeed phoolan ka muaina karein.,symptoms;abdomen,Clinical,urgent-care,can dengue cause bloating,kya dengue me pait phoolta hai,can dengue cause bloating kya dengue me pait phoolta hai
181,Can dengue cause back stiffness?,Kya dengu me kamar sakhti hoti hai?,"Yes, muscle inflammation can cause stiffness.","Haan, pathon ki soozish se sakhti hosakti hai.",symptoms;muscle,Clinical,general,can dengue cause back stiffness,kya dengu me kamar sakhti hoti hai,can dengue cause back stiffness kya dengu me kamar sakhti hoti hai
182,Does dengue cause restlessness?,Kya dengue me bechaini hoti hai?,"Yes, can indicate dehydration or poor circulation.","Haan, dehydration ya circulation ki kami ki nishani hosakti hai.",warning_signs;general,WHO,urgent-care,does dengue cause restlessness,kya dengue me bechaini hoti hai,does dengue cause restlessness kya dengue me bechaini hoti hai
183,Can dengue cause pale skin?,Kya dengue me rang feeka hosakta hai?,"Yes, paleness may indicate dehydration or low circulation.","Haan, rang feeka dehydration ya circulation ki kami ka ishara hai.",symptoms;circulation,WHO,urgent-care,can dengue cause pale skin,kya dengue me rang feeka hosakta hai,can dengue cause pale skin kya dengue me rang feeka hosakta hai
184,Does dengue cause shaking?,Kya dengue me larzish hoti hai?,"Yes, fever chills can cause shaking.","Haan, bukhar se kapkapi hosakti hai.",symptoms;fever,WHO,general,does dengue cause shaking,kya dengue me larzish hoti hai,does dengue cause shaking kya dengue me larzish hoti hai
185,Can dengue cause muscle cramps?,Kya dengue me pathon me jhatkay hotay hain?,"Yes, due to inflammation and dehydration.","Haan, soozish aur pani ki kami ki wajah se.",symptoms;muscle,Clinical,general,can dengue cause muscle cramps,kya dengue me pathon me jhatkay hotay hain,can dengue cause muscle cramps kya dengue me pathon me jhatkay hotay hain
186,Is stomach swelling dangerous?,Kya pait ka phoolna khatarnak hai?,"If severe or painful, seek urgent evaluation.",Agar shadeed ya dard ke sath ho to foran muaina karein.,warning_signs;abdomen,WHO,urgent-care,is stomach swelling dangerous,kya pait ka phoolna khatarnak hai,is stomach swelling dangerous kya pait ka phoolna khatarnak hai
187,Can dengue cause cold sweats?,Kya dengue me thanday paseenay hosakte hain?,Cold sweats may indicate shock—seek emergency care.,Thanday paseenay shock ki nishani hain—emergency hai.,severe_dengue;shock,WHO,emergency,can dengue cause cold sweats,kya dengue me thanday paseenay hosakte hain,can dengue cause cold sweats kya dengue me thanday paseenay hosakte hain
188,Is irritability serious?,Kya chirchira-pan khatarnak hai?,"In children, irritability may signal worsening dengue.",Bachon me chirchira-pan halat bigarnay ki nishani hosakta hai.,pediatrics;warning_signs,WHO,urgent-care,is irritability serious,kya chirchirapan khatarnak hai,is irritability serious kya chirchirapan khatarnak hai
189,Can dengue cause weak pulse?,Kya nabz kamzor hosakti hai?,A weak pulse is dangerous and indicates possible shock.,Kamzor nabz shock ki nishani hai.,severe_dengue;shock,WHO,emergency,can dengue cause weak pulse,kya nabz kamzor hosakti hai,can dengue cause weak pulse kya nabz kamzor hosakti hai
190,Should I avoid spicy food?,Kya mirch masala se parhez karna chahiye?,"Yes, spicy foods may irritate the stomach—choose light meals.","Haan, mirch masala pait ko kharab kar sakta hai—halka khana behtar hai.",nutrition;home_care,Health education,general,should i avoid spicy food,kya mirch masala se parhez karna chahiye,should i avoid spicy food kya mirch masala se parhez karna chahiye
191,Can dengue cause leg weakness?,Kya dengue me taang kamzor hoti hain?,"Yes, due to fatigue and dehydration.","Haan, thakan aur dehydration se.",symptoms;fatigue,WHO,general,can dengue cause leg weakness,kya dengue me taang kamzor hoti hain,can dengue cause leg weakness kya dengue me taang kamzor hoti hain
192,Can dengue cause burning skin?,Kya jild me jalan hosakti hai?,Some patients feel burning or sensitivity due to fever.,Kuch log bukhar ki wajah se jild me jalan mehsoos karte hain.,symptoms;skin,Clinical,general,can dengue cause burning skin,kya jild me jalan hosakti hai,can dengue cause burning skin kya jild me jalan hosakti hai
193,Is low urine output dangerous?,Kya kam peshab khatarnak hota hai?,"Yes, it indicates dehydration and needs urgent fluid intake.","Haan, ye dehydration ki nishani hai—maye barhayen.",hydration;warning_signs,WHO,urgent-care,is low urine output dangerous,kya kam peshab khatarnak hota hai,is low urine output dangerous kya kam peshab khatarnak hota hai
194,Can dengue cause weak breathing?,Kya saans kamzor hosakti hai?,Weak or rapid breathing is a serious warning sign.,Kamzor ya tez saans lena shadeed alamat hai.,warning_signs;respiratory,WHO,emergency,can dengue cause weak breathing,kya saans kamzor hosakti hai,can dengue cause weak breathing kya saans kamzor hosakti hai
195,Does dengue cause mood changes?,Kya dengue me mood badalta hai?,"Illness stress, fatigue, and dehydration may cause mood changes.","Bimari ka stress, thakan aur dehydration mood ko asar karte hain.",symptoms;mental_state,Clinical,general,does dengue cause mood changes,kya dengue me mood badalta hai,does dengue cause mood changes kya dengue me mood badalta hai
196,Can dengue cause shoulder pain?,Kya kandhon me dard hosakta hai?,"Yes, due to generalized muscle pain.","Haan, jism dard kandhon tak hosakta hai.",symptoms;muscle,Clinical,general,can dengue cause shoulder pain,kya kandhon me dard hosakta hai,can dengue cause shoulder pain kya kandhon me dard hosakta hai
197,Can dengue cause low appetite?,Kya dengue me bhook kam lagti hai?,"Yes. Eat small, frequent meals.","Haan, choti choti meals lein.",symptoms;nutrition,WHO,general,can dengue cause low appetite,kya dengue me bhook kam lagti hai,can dengue cause low appetite kya dengue me bhook kam lagti hai
198,Can dengue cause swollen eyes?,Kya dengue me aankhen sooj jati hain?,Mild swelling may occur; severe swelling needs evaluation.,Halki soojan hosakti hai; shadeed soojan par muaina karein.,symptoms;eye,Clinical,urgent-care,can dengue cause swollen eyes,kya dengue me aankhen sooj jati hain,can dengue cause swollen eyes kya dengue me aankhen sooj jati hain
199,Is rapid breathing dangerous?,Kya tez saans lena khatarnak hai?,"Yes, it may indicate fluid leakage or shock—seek emergency care.","Haan, yeh leakage ya shock ki nishani hai—emergency care zaruri hai.",warning_signs;respiratory,WHO,emergency,is rapid breathing dangerous,kya tez saans lena khatarnak hai,is rapid breathing dangerous kya tez saans lena khatarnak hai
200,Does dengue cause chest tightness?,Kya dengue me seena tang hota hai?,Chest tightness is not typical and must be evaluated immediately.,Aam nahi; foran doctor ko dikhayen.,symptoms;cardio,WHO,urgent-care,does dengue cause chest tightness,kya dengue me seena tang hota hai,does dengue cause chest tightness kya dengue me seena tang hota hai
201,How accurate is the NS1 test?,NS1 test kitna sahi hota hai?,"NS1 is highly sensitive in days 1–3, then sensitivity gradually decreases.","NS1 pehle 1–3 din me bohat sahi hota hai, phir sensitivity kam hoti jati hai.",diagnosis;NS1,WHO,general,how accurate is the ns1 test,ns1 test kitna sahi hota hai,how accurate is the ns1 test ns1 test kitna sahi hota hai
202,Can NS1 be negative even if I have dengue?,Kya NS1 negative hone par bhi dengue ho sakta hai?,"Yes. After day 5, NS1 may become negative even in true dengue.","Haan, din 5 ke baad NS1 negative hosakta hai jabke dengue ho.",diagnosis;NS1,WHO,general,can ns1 be negative even if i have dengue,kya ns1 negative hone par bhi dengue ho sakta hai,can ns1 be negative even if i have dengue kya ns1 negative hone par bhi dengue ho sakta hai
203,What does PCR positive mean?,PCR positive ka kya matlab hai?,It confirms active dengue infection by detecting viral RNA.,Yeh virus ka RNA pakar kar dengue ki tasdeeq karta hai.,diagnosis;PCR,WHO,general,what does pcr positive mean,pcr positive ka kya matlab hai,what does pcr positive mean pcr positive ka kya matlab hai
204,How useful is a CBC in dengue?,CBC dengue me kitna zaruri hai?,CBC helps track platelets and hematocrit—key indicators for severity.,CBC platelets aur hematocrit ko track karta hai jo severity ka andaza dete hain.,labs;CBC,WHO,urgent-care,how useful is a cbc in dengue,cbc dengue me kitna zaruri hai,how useful is a cbc in dengue cbc dengue me kitna zaruri hai
205,Why does hematocrit rise?,Hematocrit kyun barhta hai?,"It rises due to plasma leakage, indicating increased severity.",Leakage ki wajah se hematocrit barhta hai jo severity batata hai.,labs;hematocrit,WHO,urgent-care,why does hematocrit rise,hematocrit kyun barhta hai,why does hematocrit rise hematocrit kyun barhta hai
206,Is a falling hematocrit dangerous?,Girta hua hematocrit khatarnak hai?,A sudden drop with bleeding signs is concerning.,Achanak girna aur bleeding hona khatray ki nishani hai.,labs;hematocrit,WHO,urgent-care,is a falling hematocrit dangerous,girta hua hematocrit khatarnak hai,is a falling hematocrit dangerous girta hua hematocrit khatarnak hai
207,How low can platelets go in dengue?,Platelets kitne kam hosakte hain?,"They can fall significantly, but severity depends on bleeding and clinical signs.","Platelets bohat kam hosakte hain, lekin severity bleeding aur alamat par depend karti hai.",labs;platelets,WHO,general,how low can platelets go in dengue,platelets kitne kam hosakte hain,how low can platelets go in dengue platelets kitne kam hosakte hain
208,Do platelets predict severity?,Kya platelets severity batate hain?,"Trends matter more than the absolute number, especially with warning signs.","Number se zyada rawayya (trend) aham hota hai, khas tor par agar warning signs ho.",labs;platelets,WHO,urgent-care,do platelets predict severity,kya platelets severity batate hain,do platelets predict severity kya platelets severity batate hain
209,Can I track platelets at home?,Kya platelets ko ghar me monitor kiya ja sakta hai?,"No, platelet counts require blood tests at a clinic or lab.","Nahi, platelets sirf lab test se check hote hain.",labs;monitoring,WHO,general,can i track platelets at home,kya platelets ko ghar me monitor kiya ja sakta hai,can i track platelets at home kya platelets ko ghar me monitor kiya ja sakta hai
210,Should CBC be checked daily?,Kya CBC roz check karna chahiye?,"During days 3–7, daily checks are recommended for symptomatic patients.","Din 3–7 me, symptomatic mareezon me rozana CBC behtar hota hai.",labs;CBC,WHO,general,should cbc be checked daily,kya cbc roz check karna chahiye,should cbc be checked daily kya cbc roz check karna chahiye
211,Can dehydration raise hematocrit?,Kya dehydration se hematocrit barhta hai?,"Yes, dehydration concentrates the blood and increases HCT.","Haan, dehydration khoon ko ghana karta hai aur HCT barhta hai.",hydration;labs,Clinical,general,can dehydration raise hematocrit,kya dehydration se hematocrit barhta hai,can dehydration raise hematocrit kya dehydration se hematocrit barhta hai
212,Is high hematocrit always severe dengue?,Kya HCT barhna hamesha severe dengue hota hai?,"Not always. Interpretation requires symptoms, BP, and hydration status.","Hamesha nahi. Symptoms, BP aur hydration ke sath interpret hota hai.",labs;hematocrit,WHO,urgent-care,is high hematocrit always severe dengue,kya hct barhna hamesha severe dengue hota hai,is high hematocrit always severe dengue kya hct barhna hamesha severe dengue hota hai
213,What are warning signs needing hospitalization?,Kin alamat par hospital jana chahiye?,"Severe abdominal pain, repeated vomiting, bleeding, lethargy, cold skin, reduced urine.","Shadeed pait dard, bar bar ulti, bleeding, susti, thandi skin, kam peshab.",warning_signs;triage,WHO,urgent-care,what are warning signs needing hospitalization,kin alamat par hospital jana chahiye,what are warning signs needing hospitalization kin alamat par hospital jana chahiye
214,What is the critical period?,Critical period kya hota hai?,The 24–48 hours after fever falls when complications can develop.,Bukhar girne ke 24–48 ghante jin me complications hosakti hain.,timeline;critical_phase,WHO,urgent-care,what is the critical period,critical period kya hota hai,what is the critical period critical period kya hota hai
215,Is the critical phase dangerous?,Critical phase kitni khatarnak hai?,"Yes, because plasma leakage and shock can appear.","Haan, kyun ke leakage aur shock hosaktay hain.",critical_phase;severe,WHO,emergency,is the critical phase dangerous,critical phase kitni khatarnak hai,is the critical phase dangerous critical phase kitni khatarnak hai
216,Which fluids are best for dengue?,Dengue me konsay maye behtar hain?,"ORS, water, coconut water, soups, diluted juices.","ORS, pani, nariyal pani, yakhni, halka juice.",hydration;home_care,WHO,general,which fluids are best for dengue,dengue me konsay maye behtar hain,which fluids are best for dengue dengue me konsay maye behtar hain
217,Should I drink too much water?,Kya bohat zyada pani peena theek hai?,Drink steadily but not excessively; overhydration may be harmful.,"Munazzam tor par piyayen, zyada nahi; overhydration nuqsan deh hosakta hai.",hydration;safety,Clinical,urgent-care,should i drink too much water,kya bohat zyada pani peena theek hai,should i drink too much water kya bohat zyada pani peena theek hai
218,Can IV fluids be taken at home?,Kya IV fluids ghar me lag sakte hain?,"No, IV fluids require medical supervision to avoid complications.","Nahi, IV fluids ko medical supervision chahiye.",treatment;IV_fluids,WHO,emergency,can iv fluids be taken at home,kya iv fluids ghar me lag sakte hain,can iv fluids be taken at home kya iv fluids ghar me lag sakte hain
219,What happens if IV fluids are too much?,IV fluids zyada lagne se kya hota hai?,Overhydration can cause lung fluid accumulation and worsen outcomes.,Zyada fluids se phaypron me maye jama hosakta hai jo nuqsan deh hai.,treatment;IV_fluids,WHO,emergency,what happens if iv fluids are too much,iv fluids zyada lagne se kya hota hai,what happens if iv fluids are too much iv fluids zyada lagne se kya hota hai
220,What happens if IV fluids are too little?,Agar IV fluids kam lagayen to kya hota hai?,Insufficient fluids during leakage can lead to shock.,Kam fluids leakage ke douran shock ka sabab ban sakte hain.,treatment;IV_fluids,WHO,emergency,what happens if iv fluids are too little,agar iv fluids kam lagayen to kya hota hai,what happens if iv fluids are too little agar iv fluids kam lagayen to kya hota hai
221,Can dengue spread person to person?,Kya dengue aik insan se doosray ko lagta hai?,No. It spreads only through Aedes mosquitoes.,"Nahi, yeh sirf Aedes machar ke kaat se phailta hai.",transmission;mosquito,WHO,general,can dengue spread person to person,kya dengue aik insan se doosray ko lagta hai,can dengue spread person to person kya dengue aik insan se doosray ko lagta hai
222,Can I get dengue twice in one year?,Kya aik saal me dobara dengue hosakta hai?,"Yes, if exposed to a different serotype.","Haan, mukhtalif serotype se dubara hosakta hai.",immunity;serotypes,WHO,general,can i get dengue twice in one year,kya aik saal me dobara dengue hosakta hai,can i get dengue twice in one year kya aik saal me dobara dengue hosakta hai
223,Can dengue relapse?,Kya dengue wapas hosakta hai?,True relapse is rare; new infection may occur from another serotype.,Asal relapse kam hota hai; naya serotype hone par dobara dengue hosakta hai.,immunity,WHO,general,can dengue relapse,kya dengue wapas hosakta hai,can dengue relapse kya dengue wapas hosakta hai
224,Can dengue cause fluid in abdomen?,Kya pait me maye jama hosakta hai?,"Yes, in severe dengue due to plasma leakage.","Haan, plasma leakage me pait me maye jama hosakta hai.",severe_dengue;leakage,WHO,urgent-care,can dengue cause fluid in abdomen,kya pait me maye jama hosakta hai,can dengue cause fluid in abdomen kya pait me maye jama hosakta hai
225,Can dengue cause fluid in lungs?,Kya phepron me maye jama hosakta hai?,"Yes, often due to severe leakage or excess IV fluids.","Haan, severe leakage ya zyada IV fluids se.",severe_dengue;leakage,WHO,emergency,can dengue cause fluid in lungs,kya phepron me maye jama hosakta hai,can dengue cause fluid in lungs kya phepron me maye jama hosakta hai
226,Does dengue damage kidneys?,Kya dengue gurde mutasir karta hai?,Severe dengue may reduce kidney function; hydration is crucial.,Severe dengue gurde kamzor kar sakta hai; hydration zaruri hai.,complications;kidney,WHO,urgent-care,does dengue damage kidneys,kya dengue gurde mutasir karta hai,does dengue damage kidneys kya dengue gurde mutasir karta hai
227,Does dengue affect the heart?,Kya dengue dil ko mutasir karta hai?,"Rarely, dengue may cause myocarditis requiring supervision.",Kam hota hai magar myocarditis hosakta hai; muaina zaruri hai.,complications;cardiac,Clinical,urgent-care,does dengue affect the heart,kya dengue dil ko mutasir karta hai,does dengue affect the heart kya dengue dil ko mutasir karta hai
228,Can dengue cause low oxygen?,Kya dengue me oxygen kam hosakti hai?,In severe cases with lung involvement or shock.,Severe cases me phaypron ke maslay ya shock se.,severe_dengue;respiratory,WHO,emergency,can dengue cause low oxygen,kya dengue me oxygen kam hosakti hai,can dengue cause low oxygen kya dengue me oxygen kam hosakti hai
229,Is dizziness normal?,Kya chakkar aam hain?,Mild dizziness may be dehydration; severe dizziness is concerning.,Halka chakkar dehydration; shadeed chakkar khatarnaak.,hydration;symptoms,WHO,urgent-care,is dizziness normal,kya chakkar aam hain,is dizziness normal kya chakkar aam hain
230,Why do some patients worsen suddenly?,Kuch patients achanak kyun bigartay hain?,Worsening often occurs during critical phase due to leakage.,Critical phase me leakage ki wajah se halat achanak bigar sakti hai.,critical_phase;pathophysiology,WHO,urgent-care,why do some patients worsen suddenly,kuch patients achanak kyun bigartay hain,why do some patients worsen suddenly kuch patients achanak kyun bigartay hain
231,Can dengue cause severe weakness?,Kya dengue shadeed kamzori karta hai?,"Yes, due to fever, inflammation, and dehydration.","Haan, bukhar, soozish aur dehydration ki wajah se.",symptoms;fatigue,WHO,general,can dengue cause severe weakness,kya dengue shadeed kamzori karta hai,can dengue cause severe weakness kya dengue shadeed kamzori karta hai
232,Why is rest essential?,Aaram kyun zaroori hai?,Rest reduces metabolic stress and supports recovery.,Aaram metabolism kam karta hai aur recovery me madad deta hai.,home_care;rest,WHO,general,why is rest essential,aaram kyun zaroori hai,why is rest essential aaram kyun zaroori hai
233,Is bed rest required?,Kya bed rest zaruri hai?,Recommended during fever and critical phases.,Fever aur critical phase me bed rest behtar hai.,home_care;rest,WHO,general,is bed rest required,kya bed rest zaruri hai,is bed rest required kya bed rest zaruri hai
234,Can dengue cause appetite loss?,Kya dengue me bhook kam lagti hai?,"Yes, appetite loss is common.","Haan, bhook kam lagna aam hai.",symptoms;nutrition,WHO,general,can dengue cause appetite loss,kya dengue me bhook kam lagti hai,can dengue cause appetite loss kya dengue me bhook kam lagti hai
235,What to eat during dengue?,Dengue me kya khana chahiye?,"Soft foods, fruits, soups, ORS; avoid oily foods.","Halkay khanay, phal, yakhni, ORS; oily food se parhez.",nutrition;home_care,WHO,general,what to eat during dengue,dengue me kya khana chahiye,what to eat during dengue dengue me kya khana chahiye
236,Is coconut water helpful?,Kya nariyal pani faidemand hai?,"Yes, it supports hydration but does not replace medical care.","Haan, hydration me madad karta hai lekin ilaj ka badal nahi.",hydration;nutrition,Health education,general,is coconut water helpful,kya nariyal pani faidemand hai,is coconut water helpful kya nariyal pani faidemand hai
237,Is glucose water useful?,Kya glucose ka pani faidemand hai?,Helps with energy but ORS is more balanced.,Energy deta hai magar ORS zyada balanced hota hai.,hydration;nutrition,Health education,general,is glucose water useful,kya glucose ka pani faidemand hai,is glucose water useful kya glucose ka pani faidemand hai
238,Does dengue require antibiotics?,Kya dengue me antibiotics zaruri hotay hain?,"No, unless a doctor suspects bacterial co-infection.","Nahi, jab tak bacterial infection ka shuba na ho.",medications;antibiotics,WHO,general,does dengue require antibiotics,kya dengue me antibiotics zaruri hotay hain,does dengue require antibiotics kya dengue me antibiotics zaruri hotay hain
239,Does dengue require antivirals?,Kya dengue me antiviral hota hai?,No specific antiviral exists; treatment is supportive.,Koi specific antiviral nahi—supportive care zaroori hai.,treatment;supportive,WHO,general,does dengue require antivirals,kya dengue me antiviral hota hai,does dengue require antivirals kya dengue me antiviral hota hai
240,Is honey good for dengue?,Kya shahad dengue me faidemand hai?,Honey is safe in adults but not a treatment.,Shahad theek hai lekin ilaj nahi.,nutrition;myths,Education,general,is honey good for dengue,kya shahad dengue me faidemand hai,is honey good for dengue kya shahad dengue me faidemand hai
241,Does lemon water cure dengue?,Kya lemon pani dengue ka ilaj hai?,"No, it only helps hydration.","Nahi, sirf hydration me madad karta hai.",myths;hydration,Education,general,does lemon water cure dengue,kya lemon pani dengue ka ilaj hai,does lemon water cure dengue kya lemon pani dengue ka ilaj hai
242,Does black seed (kalonji) cure dengue?,Kya kalonji dengue ka ilaj hai?,No herb can replace proper medical care.,Koi herb dengue ka ilaj nahi karta.,myths;treatment,Education,general,does black seed kalonji cure dengue,kya kalonji dengue ka ilaj hai,does black seed kalonji cure dengue kya kalonji dengue ka ilaj hai
243,Can dengue cause headache without fever?,Kya dengue me bukhar ke baghair sar dard hosakta hai?,Rare but possible in early infection.,Kam hota hai magar shuru me hosakta hai.,symptoms;headache,Clinical,general,can dengue cause headache without fever,kya dengue me bukhar ke baghair sar dard hosakta hai,can dengue cause headache without fever kya dengue me bukhar ke baghair sar dard hosakta hai
244,Does dengue cause sore throat?,Kya dengue me gala dard hota hai?,"Occasionally, but it is not a main symptom.",Kabhi kabhi hota hai magar aam nahi.,symptoms;throat,Clinical,general,does dengue cause sore throat,kya dengue me gala dard hota hai,does dengue cause sore throat kya dengue me gala dard hota hai
245,Can dengue cause chills?,Kya dengue me kapkapi hoti hai?,"Yes, chills occur with fever spikes.","Haan, bukhar barhne par kapkapi hosakti hai.",symptoms;fever,WHO,general,can dengue cause chills,kya dengue me kapkapi hoti hai,can dengue cause chills kya dengue me kapkapi hoti hai
246,Is rash itchy?,Kya dengue ka rash khujli karta hai?,"Sometimes, rash may be mildly itchy.",Kabhi kabhi rash me halki kharish hosakti hai.,symptoms;rash,Clinical,general,is rash itchy,kya dengue ka rash khujli karta hai,is rash itchy kya dengue ka rash khujli karta hai
247,Does dengue cause skin burning?,Kya dengue jild me jalan karta hai?,Some people feel burning due to fever.,Kuch log bukhar ki wajah se jalan mehsoos karte hain.,symptoms;skin,Clinical,general,does dengue cause skin burning,kya dengue jild me jalan karta hai,does dengue cause skin burning kya dengue jild me jalan karta hai
248,Does dengue cause sleep problems?,Kya dengue me neend ke maslay hotay hain?,"Yes, fever and pain disturb sleep.","Haan, bukhar aur dard neend ko asar karte hain.",symptoms;sleep,Clinical,general,does dengue cause sleep problems,kya dengue me neend ke maslay hotay hain,does dengue cause sleep problems kya dengue me neend ke maslay hotay hain
249,Can dengue cause anxiety?,Kya dengue me bechaini hoti hai?,Illness stress and dehydration can cause anxiety.,Stress aur dehydration bechaini paida karte hain.,symptoms;mental_state,Clinical,general,can dengue cause anxiety,kya dengue me bechaini hoti hai,can dengue cause anxiety kya dengue me bechaini hoti hai
250,Does dengue affect mental clarity?,Kya dengue me zehni soch asar hoti hai?,Severe dengue can cause confusion—this requires urgent care.,Severe dengue me uljhan hosakti hai—ye urgent care hai.,warning_signs;neuro,WHO,emergency,does dengue affect mental clarity,kya dengue me zehni soch asar hoti hai,does dengue affect mental clarity kya dengue me zehni soch asar hoti hai
251,Does dengue cause muscle stiffness?,Kya dengue me pathon me sakhti hoti hai?,"Yes, due to inflammation.","Haan, soozish ki wajah se.",symptoms;muscle,WHO,general,does dengue cause muscle stiffness,kya dengue me pathon me sakhti hoti hai,does dengue cause muscle stiffness kya dengue me pathon me sakhti hoti hai
252,Does dengue cause leg pain?,Kya dengue me taang dard hota hai?,"Yes, muscle pain often affects legs.","Haan, pathon ka dard taangon me mehsoos hota hai.",symptoms;pain,WHO,general,does dengue cause leg pain,kya dengue me taang dard hota hai,does dengue cause leg pain kya dengue me taang dard hota hai
253,Can dengue cause back pain?,Kya dengue me kamar dard hota hai?,"Yes, body aches commonly include back pain.","Haan, jism dard me kamar ka dard bhi shamil hota hai.",symptoms;pain,WHO,general,can dengue cause back pain,kya dengue me kamar dard hota hai,can dengue cause back pain kya dengue me kamar dard hota hai
254,Is body pain severe?,Kya jism dard bohat shadeed hota hai?,"Yes, dengue often causes intense pain.","Haan, dengue me dard bohat shadeed hosakta hai.",symptoms;pain,WHO,general,is body pain severe,kya jism dard bohat shadeed hota hai,is body pain severe kya jism dard bohat shadeed hota hai
255,Can dengue cause stomach bloating?,Kya dengue me pait phoolta hai?,Mild bloating is common; severe bloating is concerning.,Halki phoolan aam; shadeed phoolan par muaina karein.,symptoms;abdomen,Clinical,urgent-care,can dengue cause stomach bloating,kya dengue me pait phoolta hai,can dengue cause stomach bloating kya dengue me pait phoolta hai
256,Does dengue cause nausea?,Kya dengue me ghulati hoti hai?,"Yes, nausea is common.","Haan, ghulati aam hai.",symptoms;nausea,WHO,general,does dengue cause nausea,kya dengue me ghulati hoti hai,does dengue cause nausea kya dengue me ghulati hoti hai
257,Can dengue cause vomiting?,Kya dengue me ulti hoti hai?,"Yes, but repeated vomiting is a warning sign.","Haan, bar bar ulti khatwarning alamat hai.",symptoms;vomiting,WHO,urgent-care,can dengue cause vomiting,kya dengue me ulti hoti hai,can dengue cause vomiting kya dengue me ulti hoti hai
258,Can dengue cause diarrhea?,Kya dengue me dast hotay hain?,Loose stools may occur but severe diarrhea is uncommon.,Halki dast hosakti hain magar shadeed kam hoti hain.,symptoms;gastro,WHO,general,can dengue cause diarrhea,kya dengue me dast hotay hain,can dengue cause diarrhea kya dengue me dast hotay hain
259,Does dengue cause constipation?,Kya dengue me qabz hoti hai?,Some patients experience reduced appetite leading to constipation.,Bhook kam lagne se kuch logon me qabz hosakti hai.,symptoms;gastro,Clinical,general,does dengue cause constipation,kya dengue me qabz hoti hai,does dengue cause constipation kya dengue me qabz hoti hai
260,Can dengue cause mouth dryness?,Kya dengue me mun khushk hota hai?,Dry mouth is common due to fever and dehydration.,Mun khushk hona dehydration ki wajah se aam hai.,symptoms;hydration,WHO,general,can dengue cause mouth dryness,kya dengue me mun khushk hota hai,can dengue cause mouth dryness kya dengue me mun khushk hota hai
261,Is metallic taste normal?,Kya mooh me ajeeb taste aana normal hai?,Some patients report altered taste during illness.,Kuch mareez taste me tabdeeli mehsoos karte hain.,symptoms;taste,Clinical,general,is metallic taste normal,kya mooh me ajeeb taste aana normal hai,is metallic taste normal kya mooh me ajeeb taste aana normal hai
262,Does dengue cause light sensitivity?,Kya dengue me roshni chubhti hai?,"Yes, due to severe headache.","Haan, shadeed sar dard ki wajah se.",symptoms;eye,WHO,general,does dengue cause light sensitivity,kya dengue me roshni chubhti hai,does dengue cause light sensitivity kya dengue me roshni chubhti hai
263,Can dengue cause blurred vision?,Kya dengue me dhundhli nigah hosakti hai?,Mild blurring from dehydration may occur; severe changes need evaluation.,Halki dhundh dehydration se; shadeed tabdeeli par muaina karein.,symptoms;eye,Clinical,urgent-care,can dengue cause blurred vision,kya dengue me dhundhli nigah hosakti hai,can dengue cause blurred vision kya dengue me dhundhli nigah hosakti hai
264,Does dengue affect hearing?,Kya dengue sunai par asar karta hai?,"Not typically; if hearing changes occur, seek evaluation.",Aam tor par nahi; agar sunai badlaye to muaina karwayen.,symptoms;hearing,Clinical,urgent-care,does dengue affect hearing,kya dengue sunai par asar karta hai,does dengue affect hearing kya dengue sunai par asar karta hai
265,Does dengue cause rashes on palms?,Kya haath ki hathon par rash hosakta hai?,"Yes, rash may appear on limbs and trunk.","Haan, rash haathon aur jism par hosakta hai.",symptoms;rash,Clinical,general,does dengue cause rashes on palms,kya haath ki hathon par rash hosakta hai,does dengue cause rashes on palms kya haath ki hathon par rash hosakta hai
266,Does dengue cause night sweats?,Kya dengue me raat ko paseena hota hai?,"Yes, fever fluctuations cause night sweats.","Haan, bukhar ke farq se.",symptoms;fever,WHO,general,does dengue cause night sweats,kya dengue me raat ko paseena hota hai,does dengue cause night sweats kya dengue me raat ko paseena hota hai
