id,question_en,question_ru,answer_en,answer_ru,tags,sources,safety_level,primary_tag,merged_label
230,Why do some patients worsen suddenly?,Kuch patients achanak kyun bigartay hain?,Worsening often occurs during critical phase due to leakage.,Critical phase me leakage ki wajah se halat achanak bigar sakti hai.,critical_phase;pathophysiology,WHO,urgent-care,critical_phase,other
231,Can dengue cause severe weakness?,Kya dengue shadeed kamzori karta hai?,"Yes, due to fever, inflammation, and dehydration.","Haan, bukhar, soozish aur dehydration ki wajah se.",symptoms;fatigue,WHO,general,symptoms,symptoms
232,Why is rest essential?,Aaram kyun zaroori hai?,Rest reduces metabolic stress and supports recovery.,Aaram metabolism kam karta hai aur recovery me madad deta hai.,home_care;rest,WHO,general,home_care,other
233,Is bed rest required?,Kya bed rest zaruri hai?,Recommended during fever and critical phases.,Fever aur critical phase me bed rest behtar hai.,home_care;rest,WHO,general,home_care,other
234,Can dengue cause appetite loss?,Kya dengue me bhook kam lagti hai?,"Yes, appetite loss is common.","Haan, bhook kam lagna aam hai.",symptoms;nutrition,WHO,general,symptoms,symptoms
235,What to eat during dengue?,Dengue me kya khana chahiye?,"Soft foods, fruits, soups, ORS; avoid oily foods.","Halkay khanay, phal, yakhni, ORS; oily food se parhez.",nutrition;home_care,WHO,general,nutrition,nutrition
236,Is coconut water helpful?,Kya nariyal pani faidemand hai?,"Yes, it supports hydration but does not replace medical care.","Haan, hydration me madad karta hai lekin ilaj ka badal nahi.",hydration;nutrition,Health education,general,hydration,hydration
237,Is glucose water useful?,Kya glucose ka pani faidemand hai?,Helps with energy but ORS is more balanced.,Energy deta hai magar ORS zyada balanced hota hai.,hydration;nutrition,Health education,general,hydration,hydration
238,Does dengue require antibiotics?,Kya dengue me antibiotics zaruri hotay hain?,"No, unless a doctor suspects bacterial co-infection.","Nahi, jab tak bacterial infection ka shuba na ho.",medications;antibiotics,WHO,general,medications,medications
239,Does dengue require antivirals?,Kya dengue me antiviral hota hai?,No specific antiviral exists; treatment is supportive.,Koi specific antiviral nahi—supportive care zaroori hai.,treatment;supportive,WHO,general,treatment,treatment
240,Is honey good for dengue?,Kya shahad dengue me faidemand hai?,Honey is safe in adults but not a treatment.,Shahad theek hai lekin ilaj nahi.,nutrition;myths,Education,general,nutrition,nutrition
241,Does lemon water cure dengue?,Kya lemon pani dengue ka ilaj hai?,"No, it only helps hydration.","Nahi, sirf hydration me madad karta hai.",myths;hydration,Education,general,myths,other
242,Does black seed (kalonji) cure dengue?,Kya kalonji dengue ka ilaj hai?,No herb can replace proper medical care.,Koi herb dengue ka ilaj nahi karta.,myths;treatment,Education,general,myths,other
243,Can dengue cause headache without fever?,Kya dengue me bukhar ke baghair sar dard hosakta hai?,Rare but possible in early infection.,Kam hota hai magar shuru me hosakta hai.,symptoms;headache,Clinical,general,symptoms,symptoms
244,Does dengue cause sore throat?,Kya dengue me gala dard hota hai?,"Occasionally, but it is not a main symptom.",Kabhi kabhi hota hai magar aam nahi.,symptoms;throat,Clinical,general,symptoms,symptoms
245,Can dengue cause chills?,Kya dengue me kapkapi hoti hai?,"Yes, chills occur with fever spikes.","Haan, bukhar barhne par kapkapi hosakti hai.",symptoms;fever,WHO,general,symptoms,symptoms
246,Is rash itchy?,Kya dengue ka rash khujli karta hai?,"Sometimes, rash may be mildly itchy.",Kabhi kabhi rash me halki kharish hosakti hai.,symptoms;rash,Clinical,general,symptoms,symptoms
247,Does dengue cause skin burning?,Kya dengue jild me jalan karta hai?,Some people feel burning due to fever.,Kuch log bukhar ki wajah se jalan mehsoos karte hain.,symptoms;skin,Clinical,general,symptoms,symptoms
248,Does dengue cause sleep problems?,Kya dengue me neend ke maslay hotay hain?,"Yes, fever and pain disturb sleep.","Haan, bukhar aur dard neend ko asar karte hain.",symptoms;sleep,Clinical,general,symptoms,symptoms
249,Can dengue cause anxiety?,Kya dengue me bechaini hoti hai?,Illness stress and dehydration can cause anxiety.,Stress aur dehydration bechaini paida karte hain.,symptoms;mental_state,Clinical,general,symptoms,symptoms
250,Does dengue affect mental clarity?,Kya dengue me zehni soch asar hoti hai?,Severe dengue can cause confusion—this requires urgent care.,Severe dengue me uljhan hosakti hai—ye urgent care hai.,warning_signs;neuro,WHO,emergency,warning_signs,warning_signs
251,Does dengue cause muscle stiffness?,Kya dengue me pathon me sakhti hoti hai?,"Yes, due to inflammation.","Haan, soozish ki wajah se.",symptoms;muscle,WHO,general,symptoms,symptoms
252,Does dengue cause leg pain?,Kya dengue me taang dard hota hai?,"Yes, muscle pain often affects legs.","Haan, pathon ka dard taangon me mehsoos hota hai.",symptoms;pain,WHO,general,symptoms,symptoms
253,Can dengue cause back pain?,Kya dengue me kamar dard hota hai?,"Yes, body aches commonly include back pain.","Haan, jism dard me kamar ka dard bhi shamil hota hai.",symptoms;pain,WHO,general,symptoms,symptoms
254,Is body pain severe?,Kya jism dard bohat shadeed hota hai?,"Yes, dengue often causes intense pain.","Haan, dengue me dard bohat shadeed hosakta hai.",symptoms;pain,WHO,general,symptoms,symptoms
255,Can dengue cause stomach bloating?,Kya dengue me pait phoolta hai?,Mild bloating is common; severe bloating is concerning.,Halki phoolan aam; shadeed phoolan par muaina karein.,symptoms;abdomen,Clinical,urgent-care,symptoms,symptoms
256,Does dengue cause nausea?,Kya dengue me ghulati hoti hai?,"Yes, nausea is common.","Haan, ghulati aam hai.",symptoms;nausea,WHO,general,symptoms,symptoms
257,Can dengue cause vomiting?,Kya dengue me ulti hoti hai?,"Yes, but repeated vomiting is a warning sign.","Haan, bar bar ulti khatwarning alamat hai.",symptoms;vomiting,WHO,urgent-care,symptoms,symptoms
258,Can dengue cause diarrhea?,Kya dengue me dast hotay hain?,Loose stools may occur but severe diarrhea is uncommon.,Halki dast hosakti hain magar shadeed kam hoti hain.,symptoms;gastro,WHO,general,symptoms,symptoms
259,Does dengue cause constipation?,Kya dengue me qabz hoti hai?,Some patients experience reduced appetite leading to constipation.,Bhook kam lagne se kuch logon me qabz hosakti hai.,symptoms;gastro,Clinical,general,symptoms,symptoms
260,Can dengue cause mouth dryness?,Kya dengue me mun khushk hota hai?,Dry mouth is common due to fever and dehydration.,Mun khushk hona dehydration ki wajah se aam hai.,symptoms;hydration,WHO,general,symptoms,symptoms
261,Is metallic taste normal?,Kya mooh me ajeeb taste aana normal hai?,Some patients report altered taste during illness.,Kuch mareez taste me tabdeeli mehsoos karte hain.,symptoms;taste,Clinical,general,symptoms,symptoms
262,Does dengue cause light sensitivity?,Kya dengue me roshni chubhti hai?,"Yes, due to severe headache.","Haan, shadeed sar dard ki wajah se.",symptoms;eye,WHO,general,symptoms,symptoms
263,Can dengue cause blurred vision?,Kya dengue me dhundhli nigah hosakti hai?,Mild blurring from dehydration may occur; severe changes need evaluation.,Halki dhundh dehydration se; shadeed tabdeeli par muaina karein.,symptoms;eye,Clinical,urgent-care,symptoms,symptoms
264,Does dengue affect hearing?,Kya dengue sunai par asar karta hai?,"Not typically; if hearing changes occur, seek evaluation.",Aam tor par nahi; agar sunai badlaye to muaina karwayen.,symptoms;hearing,Clinical,urgent-care,symptoms,symptoms
265,Does dengue cause rashes on palms?,Kya haath ki hathon par rash hosakta hai?,"Yes, rash may appear on limbs and trunk.","Haan, rash haathon aur jism par hosakta hai.",symptoms;rash,Clinical,general,symptoms,symptoms
266,Does dengue cause night sweats?,Kya dengue me raat ko paseena hota hai?,"Yes, fever fluctuations cause night sweats.","Haan, bukhar ke farq se.",symptoms;fever,WHO,general,symptoms,symptoms
267,Does dengue cause slow heartbeat?,Kya dengue me dil ki dharkan sust hosakti hai?,"Rare; if present, needs medical evaluation.",Kam hota hai; agar ho to muaina zaruri hai.,symptoms;cardio,Clinical,urgent-care,symptoms,symptoms
268,Does dengue cause fast heartbeat?,Kya dengue me dharkan tez hoti hai?,"Yes, from fever and dehydration.","Haan, bukhar aur dehydration se.",symptoms;cardio,WHO,general,symptoms,symptoms
269,Can dengue cause low oxygen?,Kya dengue me oxygen kam hosakti hai?,"Yes, in severe lung involvement or shock.","Haan, severe dengue me.",severe_dengue;respiratory,WHO,emergency,severe_dengue,severe_dengue
270,Can dengue cause chest heaviness?,Kya dengue me seena bhari lagta hai?,"If chest heaviness occurs, medical assessment is needed.",Agar seena bhaari lage to muaina karein.,symptoms;cardio,Clinical,general,symptoms,symptoms
271,Does dengue cause swelling of legs?,Kya paon sooj jate hain?,Swelling during leakage needs evaluation.,Leakage me soojan par muaina zaruri hai.,severe_dengue;swelling,WHO,urgent-care,severe_dengue,severe_dengue
272,Is cold skin dangerous?,Kya thandi skin khatarnak hai?,"Cold, clammy skin indicates possible shock—seek emergency care.","Thandi, chipchipi skin shock ka ishara hai—emergency hai.",warning_signs;shock,WHO,general,warning_signs,warning_signs
273,Does dengue cause irritability?,Kya dengue me chichrhat hoti hai?,Irritability may indicate dehydration or worsening illness.,Chichrhat dehydration ya halat bigarnay ki nishani hai.,symptoms;mental_state,WHO,general,symptoms,symptoms
274,Does dengue cause hallucinations?,Kya dengue me ajeeb nazaray dikhte hain?,"Rare; if present, seek urgent evaluation.",Kam hota hai; agar ho to foran muaina karein.,symptoms;neuro,Clinical,general,symptoms,symptoms
275,Can dengue cause dark urine?,Kya dengue me peshab ghanay rang ka hota hai?,Dark urine indicates dehydration; increase fluids.,Ghana peshab dehydration ki nishani hai—maye barhayen.,hydration;monitoring,WHO,general,hydration,hydration
276,Is fainting a warning sign?,Kya behosh hona dengue me khatarnak hai?,"Yes, fainting suggests poor circulation or dehydration.","Haan, behoshi circulation ya dehydration se hoti hai.",warning_signs;circulation,WHO,general,warning_signs,warning_signs
277,Does dengue cause chills without fever?,Kya dengue me bukhar ke bina kapkapi hosakti hai?,"Usually chills accompany fever, not occur alone.",Aam tor par kapkapi bukhar ke sath hoti hai.,symptoms;fever,WHO,general,symptoms,symptoms
278,Does dengue cause confusion?,Kya dengue me uljhan hoti hai?,Confusion is a red-flag sign—urgent care needed.,Uljhan shadeed alamat hai—foran madad lein.,warning_signs;neuro,WHO,general,warning_signs,warning_signs
279,Is rash needed to diagnose dengue?,Kya rash tashkhis ke liye zaruri hai?,"No, dengue can occur without rash.","Nahi, rash ke baghair bhi dengue hosakta hai.",diagnosis;clinical,WHO,general,diagnosis,diagnosis
280,How long does dengue recovery take?,Dengue recovery kitni der leti hai?,Most patients recover within 2 weeks; fatigue may last longer.,Aksar 2 hafton me behtari hoti hai; thakan zyada arsa reh sakti hai.,recovery,WHO,general,recovery,recovery
281,When can I return to work?,Kaam par kab wapas ja sakta hoon?,"When fever stops, hydration is stable, and strength improves.","Jab bukhar khatam ho, hydration theek ho aur taqat aaye.",recovery;activity,WHO,general,recovery,recovery
282,Can dengue cause long-term fatigue?,Kya dengue me lambi muddat ki thakan hosakti hai?,"Yes, post-viral fatigue may last weeks.","Haan, post-viral thakan hafton tak chal sakti hai.",recovery;fatigue,Clinical,general,recovery,recovery
283,Can dengue cause hair loss?,Kya dengue ke baad bal jhadte hain?,Temporary hair shedding may occur after severe illness.,Shadeed bimari ke baad bal jhadna hosakta hai.,recovery;post_viral,Clinical,general,recovery,recovery
284,Does dengue affect immunity?,Kya dengue immunity ko asar karta hai?,Immunity may weaken temporarily during illness.,Bimari ke douran immune system kamzor hosakta hai.,immunity,WHO,general,immunity,immunity
285,Can dengue cause mild swelling?,Kya dengue me halki soojan hoti hai?,Mild swelling may occur but severe swelling is concerning.,Halki soojan hosakti hai; shadeed soojan khatarnaak hai.,symptoms;swelling,Clinical,general,symptoms,symptoms
286,What happens on day 3 of dengue?,Dengue ke din 3 me kya hota hai?,Platelets may drop and fever may remain high.,Platelets girna shuru hosakte hain aur bukhar barha reh sakta hai.,timeline,WHO,general,timeline,timeline
287,What happens on day 5?,Din 5 me kya hota hai?,Fever often begins to fall; critical phase may start.,Bukhar girna shuru hota hai; critical phase shuru hosakti hai.,timeline;critical_phase,WHO,general,timeline,timeline
288,What happens on day 7?,Din 7 me kya hota hai?,Most patients exit the critical phase and begin recovery.,Aksar log critical phase se nikal kar recovery me jate hain.,timeline;recovery,WHO,general,timeline,timeline
289,Can dengue last more than a week?,Kya dengue aik haftay se zyada rehta hai?,"Yes, recovery and fatigue may extend into weeks.","Haan, recovery aur thakan hafton tak ja sakti hai.",timeline;recovery,WHO,general,timeline,timeline
290,Does dengue affect sleep?,Kya dengue neend ko asar karta hai?,"Yes, fever and pain disturb sleep.","Haan, bukhar aur dard neend ko kharab karte hain.",symptoms;sleep,Clinical,general,symptoms,symptoms
291,Can dengue cause tingling?,Kya dengue me tingling mehsoos hoti hai?,Rare but possible with dehydration or electrolyte imbalance.,Kam hota hai lekin dehydration ya imbalance se.,symptoms;neuro,Clinical,general,symptoms,symptoms
292,Does dengue cause swollen lips?,Kya dengue me hont sooj jate hain?,"Uncommon; if swelling occurs, seek evaluation.",Kam hota hai; ho to muaina karein.,symptoms;swelling,Clinical,general,symptoms,symptoms
293,Does dengue cause fever spikes?,Kya dengue me bukhar achanak barhta hai?,"Yes, fever may rise suddenly in early days.","Haan, shuru me bukhar achanak barh sakta hai.",symptoms;fever,WHO,general,symptoms,symptoms
294,Does dengue cause red eyes?,Kya dengue me aankhen surkh hoti hain?,Mild redness may occur in some patients.,Kuch logon me halki surkhi hosakti hai.,symptoms;eye,Clinical,general,symptoms,symptoms
295,Is extreme thirst normal?,Kya bohat pyaas dengue me aam hai?,"Yes, due to dehydration from fever.","Haan, bukhar se dehydration hoti hai jo pyaas barhati hai.",hydration;symptoms,WHO,general,hydration,hydration
296,Does dengue cause shakiness?,Kya dengue me komp hota hai?,"Yes, chills can cause shaking.","Haan, kapkapi se komp hosakta hai.",symptoms;fever,WHO,general,symptoms,symptoms
297,Can dengue cause rapid breathing?,Kya dengue me tez saans hoti hai?,"Yes, often due to dehydration or respiratory involvement.","Haan, dehydration ya respiratory maslay se.",symptoms;respiratory,WHO,general,symptoms,symptoms
298,Is low BP normal in dengue?,Kya kam blood pressure dengue me normal hota hai?,"No, low BP suggests severe disease.","Nahi, kam BP severe dengue ki nishani hai.",warning_signs;BP,WHO,general,warning_signs,warning_signs
299,Does dengue affect urine color?,Kya dengue me peshab ka rang badalta hai?,"Yes, dark urine indicates dehydration.","Haan, ghana rang dehydration dikhata hai.",hydration;monitoring,WHO,general,hydration,hydration
300,Can dengue cause swelling around eyes?,Kya dengue me aankhon ke gird soojan hoti hai?,Mild swelling may occur; severe swelling needs medical evaluation.,Halki soojan hosakti hai; shadeed soojan par muaina zaruri hai.,symptoms;eye,Clinical,general,symptoms,symptoms
301,Do Aedes mosquitoes breed indoors?,Kya Aedes machar ghar ke andar breed karte hain?,"Yes, they commonly breed in indoor containers with clean stagnant water.","Haan, yeh aksar ghar ke andar saaf ruke pani ke bartanon me breed karte hain.",vector;breeding,WHO,general,vector,mosquito_control
302,Can Aedes breed in plant trays?,Kya Aedes ghamlon ki tray me breed karta hai?,"Yes, plant trays and small water collections are major breeding hotspots.","Haan, ghamlon ki trays machron ki barray breeding hotspots hoti hain.",vector_control;household,WHO,general,vector_control,mosquito_control
303,How far can Aedes mosquitoes fly?,Aedes machar kitna door urta hai?,They typically fly 100–200 meters around homes.,Aam tor par yeh 100–200 meter tak gharon ke aas paas urtay hain.,vector;behavior,WHO,general,vector,mosquito_control
304,Do Aedes mosquitoes prefer humans?,Kya Aedes machar insano ko zyada pasand karta hai?,"Yes, Aedes aegypti prefers human blood and lives near households.","Haan, Aedes aegypti insani khoon pasand karta hai aur gharon ke qareeb rehta hai.",vector;behavior,WHO,general,vector,mosquito_control
305,Are Aedes active at night?,Kya Aedes raat ko active hotay hain?,"They mainly bite during the day, but low-level activity at night can occur indoors.","Yeh zyada tar din me kaat-te hain, magar ghar ke andar raat ko halki activity hosakti hai.",vector;behavior,WHO,general,vector,mosquito_control
306,Can mosquito larvae survive in dirty drains?,Kya machar ke larvey ganday drains me zinda rehte hain?,Aedes prefer clean stagnant water; dirty drains mostly breed other mosquitoes.,Aedes saaf ruka pani pasand karte hain; ganday drains me aam tor par doosri qisam ke machar hote hain.,breeding;vector,WHO,general,breeding,breeding
307,How often should water tanks be cleaned?,Water tank kitni dafa saaf karna chahiye?,Clean and cover tanks weekly to prevent larvae.,Tankiyon ko hafte me aik martaba saaf aur dhak karen.,household;vector_control,Public health,general,household,mosquito_control
308,Does chlorine kill mosquito larvae?,Kya chlorine larva ko marta hai?,"Strong chlorine can kill larvae, but source reduction is more reliable.",Tez chlorine larva ko mar sakti hai magar ruka pani khatam karna zyada moassar hai.,vector_control;chemicals,Public health,general,vector_control,mosquito_control
309,Do fish reduce larvae?,Kya machhliyan larva ko kam karte hain?,"Some fish species eat larvae in ponds, but not suitable for household containers.",Kuch machhliyan talab me larva khati hain magar ghar ke bartanon me yeh amli nahi.,vector_control;biologic,Public health,general,vector_control,mosquito_control
310,Is fogging harmful to pets?,Kya fogging pets ke liye nuqsan deh hai?,Pets should stay indoors during fogging; ventilation afterward is important.,Fogging ke douran pets ko andar rakhein; baad me kamra hawadar karein.,vector_control;community,Public health,general,vector_control,mosquito_control
311,Can dengue spread through contaminated water?,Kya dengue pani se phailta hai?,No. It spreads only through infected Aedes mosquito bites.,Nahi. Ye sirf machar ke kaat se phailta hai.,transmission,WHO,general,transmission,transmission
312,Can dengue spread through food?,Kya dengue khane se lagta hai?,"No, food does not transmit dengue.","Nahi, khana dengue nahi phailata.",transmission,WHO,general,transmission,transmission
313,Is dengue airborne?,Kya dengue hawa se phailta hai?,"No, dengue is not airborne.","Nahi, dengue hawa se nahi phailta.",transmission,WHO,general,transmission,transmission
314,Can dengue spread by touch?,Kya dengue haath milane se lagta hai?,"No, casual contact does not spread dengue.","Nahi, aam rabt se dengue nahi lagta.",transmission,WHO,general,transmission,transmission
315,Can dengue spread by sharing utensils?,Kya bartan share karne se dengue hota hai?,"No, it requires a mosquito vector.","Nahi, dengue ke liye machar zaruri hota hai.",transmission,WHO,general,transmission,transmission
316,Do all mosquitoes spread dengue?,Kya har machar dengue phailata hai?,"No, mainly Aedes aegypti and Aedes albopictus spread dengue.","Nahi, sirf Aedes aegypti aur Aedes albopictus.",vector;transmission,WHO,general,vector,mosquito_control
317,Why do Aedes stay near homes?,Aedes gharon ke paas kyun rehte hain?,"They prefer human environments, shade, and indoor containers.","Yeh insani muhit, saya aur ghar ke bartanon ko pasand karte hain.",vector;behavior,WHO,general,vector,mosquito_control
318,Do Aedes lay eggs in small water amounts?,Kya Aedes thori si matra me pani me anday deta hai?,"Yes, even bottle caps can support larvae.","Haan, bottle cap jitna pani bhi larva banane ke liye kafi hota hai.",breeding;vector_control,Public health,general,breeding,breeding
319,How long do Aedes eggs survive?,Aedes ke anday kitna arsa zinda rehte hain?,Dry eggs can survive months and hatch when water returns.,Sookhay anday mahino tak zinda rehte hain aur pani lagtay hi hatch hotay hain.,vector;breeding,WHO,general,vector,mosquito_control
320,Is colored water safe from larvae?,Kya rang wala pani larva se mehfooz hota hai?,"No, larvae can survive in colored but clean stagnant water.","Nahi, rang hone par bhi agar pani saaf ruka ho to larva reh sakta hai.",breeding,Public health,general,breeding,breeding
321,Can mosquito larvae climb?,Kya larva container ki diwar chadh sakta hai?,"No, larvae stay in water but pupae may float at surface.","Nahi, larva pani me rehta hai; pupae satah par tair sakte hain.",vector;biology,Public health,general,vector,mosquito_control
322,How to identify mosquito larvae?,Machar ke larva ko kaise pehchane?,They look like small wiggling worms in stagnant water.,Yeh ruke pani me chhotay hiltay larway jaisay lagtay hain.,breeding;identification,Public health,general,breeding,breeding
323,Do mosquito eggs float?,Kya machar ke anday tairtay hain?,Aedes eggs stick to container walls near the waterline.,Aedes ke anday bartanon ki diwar se chipak kar lagay jate hain.,vector;breeding,Public health,general,vector,mosquito_control
324,How long before larvae become adult mosquitoes?,Larva ko machar banne me kitna waqt lagta hai?,Usually 7–10 days depending on temperature.,"Aksar 7–10 din lagtay hain, darja-hararat par depend karta hai.",vector;cycle,WHO,general,vector,mosquito_control
325,Can sun exposure kill larvae?,Kya dhoop larva ko marta hai?,Direct sunlight reduces survival but is not reliable for full control.,Seedhi dhoop survival kam karti hai magar mukammal hal nahi.,vector_control,Public health,general,vector_control,mosquito_control
326,Does salt water kill larvae?,Kya namak wala pani larva ko marta hai?,Aedes eggs survive in fresh water; salt concentration must be very high to kill larvae.,Aedes ke anday meetha pani pasand karte hain; zyada namak larva ko mar sakta hai magar home use ke liye amli nahi.,breeding;chemicals,Public health,general,breeding,breeding
327,Do essential oils repel Aedes?,Kya essential oils Aedes ko door rakhte hain?,"Some oils repel mildly, but DEET and picaridin are more reliable.",Kuch oils halki rok lagate hain magar DEET/picaridin zyada moassar hain.,repellents,WHO,general,repellents,prevention
328,Can dengue cause dehydration quickly?,Kya dengue me dehydration jaldi hoti hai?,"Yes, due to fever, vomiting, and poor intake.","Haan, bukhar, ulti aur kam pani pine se.",hydration,WHO,urgent-care,hydration,hydration
329,Is coconut water useful?,Kya nariyal pani faidemand hai?,"Yes, it helps hydration but does not replace ORS.","Haan, hydration me madad karta hai magar ORS ka badal nahi.",hydration;nutrition,Education,general,hydration,hydration
330,Are isotonic drinks safe?,Kya sports drinks dengue me theek hain?,Safe if diluted; avoid high sugar.,Dilute kar ke theek hain; zyada meetha nuqsan day ho sakta hai.,hydration;nutrition,Education,general,hydration,hydration
331,Should I avoid caffeine?,Kya caffeine se parhez karun?,Limit caffeine because it may worsen dehydration.,Caffeine kam karein kyun ke dehydration barh sakta hai.,nutrition;hydration,Clinical,general,nutrition,nutrition
332,Should I avoid very sugary drinks?,Kya bohat meetha peena theek nahi?,"Yes, they may cause stomach discomfort; prefer ORS.","Haan, pait kharab kar sakta hai; ORS behtar hai.",nutrition,Education,general,nutrition,nutrition
333,Is soup good during dengue?,Kya yakhni dengue me faida karti hai?,"Yes, soups support hydration and electrolytes.","Haan, yakhni hydration aur namak poora karti hai.",nutrition;hydration,WHO,general,nutrition,nutrition
334,Is milk good in dengue?,Kya doodh dengue me theek hai?,Safe if tolerated; avoid if it causes nausea.,Agar hazm ho to theek; agar ghulati day to parhez.,nutrition,Clinical,general,nutrition,nutrition
335,Can I eat eggs?,Kya anday dengue me khaye ja sakte hain?,"Yes, eggs provide protein and are safe.","Haan, anday protein detey hain aur safe hain.",nutrition,Education,general,nutrition,nutrition
336,Are fried foods harmful?,Kya talay huay khanay nuqsan detey hain?,They may worsen nausea; prefer light meals.,Yeh ghulati barhate hain; halka khana behtar hai.,nutrition,Education,general,nutrition,nutrition
337,Can dengue cause weight loss?,Kya dengue se wazan kam hota hai?,Temporary weight loss is common due to poor appetite.,Bhook kam honay se wazan gir sakta hai.,recovery,Clinical,general,recovery,recovery
338,How long to regain strength?,Taqat wapas anay me kitna waqt lagta hai?,Most regain strength in 2–4 weeks depending on severity.,Aksar 2–4 haftay lagtay hain severity par depend karta hai.,recovery,Clinical,general,recovery,recovery
339,Does dengue cause muscle fatigue?,Kya dengue me pathon ki thakan hoti hai?,"Yes, viral inflammation causes muscle fatigue.","Haan, virus se soozish pathon ko thaka deti hai.",symptoms;muscle,WHO,general,symptoms,symptoms
340,Does dengue cause skin sensitivity?,Kya dengue me jild hassaas ho jati hai?,"Yes, fever and rash may cause skin tenderness.","Haan, bukhar aur rash jild ko hassaas bana sakte hain.",symptoms;skin,Clinical,general,symptoms,symptoms
341,Is red rash dangerous?,Kya surkh rash khatarnak hai?,Most rashes are harmless but bleeding spots require urgent care.,Aksar rash be-nuqsan hota hai magar khuni nishanat par foran madad lein.,symptoms;rash,WHO,general,symptoms,symptoms
342,Does dengue cause peeling skin?,Kya dengue ke baad jild utar sakti hai?,Mild peeling may occur in recovery.,Recovery ke douran halki jild utar sakti hai.,recovery;skin,Clinical,general,recovery,recovery
343,Can dengue cause back stiffness?,Kya dengue me kamar sakhti hoti hai?,Common due to muscle inflammation.,Aam hai soozish ki wajah se.,symptoms;muscle,Clinical,general,symptoms,symptoms
344,Is dizziness always serious?,Kya chakkar hamesha khatarnaak hotay hain?,Mild dizziness is from dehydration; severe dizziness is concerning.,Halka dehydration se; shadeed ho to khatray ki nishani.,symptoms;hydration,WHO,general,symptoms,symptoms
345,Does dengue cause irritability?,Kya dengue me chirchira-pan hota hai?,Illness stress and poor hydration may cause irritability.,Stress aur dehydration is ka sabab hote hain.,symptoms;mental,Clinical,general,symptoms,symptoms
346,Can dengue cause mood swings?,Kya mood bar bar badalta hai?,"Yes, due to fatigue and illness stress.","Haan, thakan aur stress se.",symptoms;mental,Clinical,general,symptoms,symptoms
347,Does dengue affect sleep?,Kya dengue me neend masla hota hai?,"Yes, fever and pain disrupt sleep.","Haan, bukhar aur dard neend ko asar karte hain.",symptoms;sleep,Clinical,general,symptoms,symptoms
348,Does dengue cause chills?,Kya dengue me kapkapi hoti hai?,"Yes, chills occur with fever spikes.","Haan, bukhar barhne se.",symptoms;fever,WHO,general,symptoms,symptoms
349,Does dengue cause cold hands?,Kya dengue me haath thanday hotay hain?,Cold extremities may indicate poor circulation—seek care.,Thanday haath circulation maslay ki nishani ho sakte hain.,warning_signs;circulation,WHO,general,warning_signs,warning_signs
350,Can dengue cause swelling of feet?,Kya dengue me paon sooj jate hain?,Swelling may occur in leakage—requires assessment.,Leakage me soojan hoti hai; muaina zaruri hai.,severe_dengue;swelling,WHO,general,severe_dengue,severe_dengue
351,Does dengue cause coughing?,Kya dengue me khansi hoti hai?,Mild cough may occur but persistent cough requires evaluation.,Halki khansi hosakti hai; zyada ho to muaina karein.,symptoms;respiratory,Clinical,general,symptoms,symptoms
352,Does dengue cause sore throat?,Kya dengue me gala dard hota hai?,Occasionally; not a defining symptom.,Kabhi kabhi; magar khas alamat nahi.,symptoms;throat,Clinical,general,symptoms,symptoms
353,Can dengue cause fainting?,Kya dengue me behoshi hosakti hai?,"Yes, fainting suggests severe dehydration or shock—urgent care needed.","Haan, behoshi dehydration ya shock ki nishani hai.",warning_signs;severe,WHO,general,warning_signs,warning_signs
354,Does dengue cause pale skin?,Kya dengue me rang feeka hota hai?,"Yes, may indicate dehydration or bleeding.","Haan, pani ki kami ya bleeding ki nishani.",symptoms;circulation,WHO,general,symptoms,symptoms
355,Does dengue cause fast heartbeat?,Kya dengue me dharkan tez hoti hai?,Common due to fever and dehydration.,Bukhar aur dehydration se aam hai.,symptoms;cardio,WHO,general,symptoms,symptoms
356,Can dengue affect the lungs?,Kya dengue phaypron ko asar karta hai?,Severe leakage may cause fluid in lungs—emergency.,Severe leakage me phepron me maye jama hosakta hai.,severe_dengue;respiratory,WHO,general,severe_dengue,severe_dengue
357,Can dengue affect the brain?,Kya dengue dimagh ko asar karta hai?,"Rare, but confusion is a serious warning sign.",Kam hota hai; uljhan serious nishani hai.,warning_signs;neuro,WHO,general,warning_signs,warning_signs
358,Is shaking normal?,Kya komp aam hai?,Fever chills cause shaking; severe tremors need evaluation.,Kapkapi se komp hota hai; shadeed ho to muaina karein.,symptoms;fever,WHO,general,symptoms,symptoms
359,Does dengue cause low sodium?,Kya dengue me sodium kam hota hai?,Mild hyponatremia is common and monitored clinically.,Halki kami aam hai; doctors nigrani karte hain.,labs;electrolytes,Clinical,general,labs,laboratory
360,Does dengue cause low blood sugar?,Kya dengue me sugar kam hoti hai?,Possible in severe illness—monitoring needed.,Severe cases me hosakta hai—nigrani chahiye.,labs;glucose,Clinical,general,labs,laboratory
361,Does dengue cause liver pain?,Kya jigar ke ilaqay me dard hota hai?,Mild right-upper abdominal discomfort may occur.,Jigar ke qareeb halka dard hosakta hai.,symptoms;abdomen,Clinical,general,symptoms,symptoms
362,Can dengue cause yellow eyes?,Kya dengue me peeli aankhen hoti hain?,Rare jaundice suggests severe liver involvement—urgent care.,Peeli aankhen severe liver maslay ki nishani hain.,complications;liver,WHO,general,complications,complications
